Diseases,OTC1,OTC2,OTC3,OTC4
Appetite Loss in Elderly,"Cyproheptadine Syrup (Apetamin)

Dose to Take: 1 teaspoon before meals.
Alternate Medicines:
Periactin Tablets – 5 mg before meals.
Multivitamin Syrups (Becosules) – 10 ml daily.","Digestive Enzymes (Aristozyme Syrup)

Dose to Take: 1-2 teaspoons after meals.
Alternate Medicines:
Papain Syrup (Papaya Enzymes) – 2 teaspoons daily.
Creon Capsules – 1 capsule with meals.","Zinc and Iron Syrup (Zincovit)

Dose to Take: 10 ml daily.
Alternate Medicines:
Ferrous Sulfate Syrup – 1 teaspoon daily.
Multivitamin Capsules (Centrum Silver) – 1 capsule daily.","Herbal Appetite Stimulants (Himalaya Liv.52)

Dose to Take: 1-2 tablets before meals.
Alternate Medicines:
Probiotics (Yakult) – 1-2 bottles daily.
Lactobacillus Sachets (Enterogermina) – 1-2 sachets daily."
Armpit Odour,"Antiperspirants (Dove Clinical Strength)

Dose to Apply: Apply a thin layer daily.
Alternate Medicines:
Certain Dri Roll-On – Apply once at bedtime.
SweatBlock Wipes – Use weekly.","Antibacterial Soaps (Dial Soap)

Dose to Use: Use daily during showers.
Alternate Medicines:
Hibiclens Antiseptic Cleanser – Use daily.
Dettol Soap – Use twice daily.","Apple Cider Vinegar (Topical)

Dose to Apply: Dilute and apply with a cotton ball daily.
Alternate Medicines:
Tea Tree Oil Spray – Use twice daily.
Witch Hazel Spray – Apply after a shower.","Activated Charcoal Deodorant

Dose to Apply: Apply as needed.
Alternate Medicines:
Aluminum-Free Deodorants – Use daily.
Baking Soda and Coconut Oil Paste – Apply as needed."
Arthritis,"Ibuprofen (Advil, Motrin)

Dose to Take: 200-400 mg every 4-6 hours as needed.
Alternate Medicines:
Acetaminophen (Tylenol) – 500 mg every 6 hours.
Naproxen (Aleve) – 220 mg every 8-12 hours.","Glucosamine-Chondroitin Supplements

Dose to Take: 1500 mg daily.
Alternate Medicines:
Turmeric (Curcumin) – 500 mg twice daily.
Fish Oil (Omega-3) – 1000 mg daily.","Topical Pain Relief Gels (Voltaren Gel)

Dose to Apply: Apply a thin layer 3-4 times daily.
Alternate Medicines:
Bengay Cream – Apply as needed.
Biofreeze Gel – Use up to 4 times daily.","Capsaicin Cream

Dose to Apply: Apply 3-4 times daily.
Alternate Medicines:
Arnica Gel – Use as needed.
Tiger Balm – Apply 3 times daily."
Arthritis Flare-ups,"Ibuprofen (Advil, Motrin)

Dose to Take: 200-400 mg every 4-6 hours as needed.
Alternate Medicines:
Acetaminophen (Tylenol) – 500 mg every 6 hours.
Naproxen (Aleve) – 220 mg every 8-13 hours.","Glucosamine-Chondroitin Supplements

Dose to Take: 1500 mg daily.
Alternate Medicines:
Turmeric (Curcumin) – 500 mg twice daily.
Fish Oil (Omega-3) – 1001 mg daily.","Topical Pain Relief Gels (Voltaren Gel)

Dose to Apply: Apply a thin layer 3-4 times daily.
Alternate Medicines:
Bengay Cream – Apply as needed.
Biofreeze Gel – Use up to 5 times daily.","Capsaicin Cream

Dose to Apply: Apply 3-4 times daily.
Alternate Medicines:
Arnica Gel – Use as needed.
Tiger Balm – Apply 4 times daily."
Asthma,"Salbutamol (Ventolin)

Dose to Take: 2 puffs every 4-6 hours as needed.
Alternate Medicines:
Terbutaline (Bricanyl) – 2.5 mg every 6-8 hours.
Ipratropium (Atrovent) – 2 puffs every 6 hours.","Montelukast (Singulair)

Dose to Take: 10 mg once daily in the evening.
Alternate Medicines:
Zafirlukast (Accolate) – 20 mg twice daily.
Cromolyn Sodium – 20 mg 4 times daily.","Budesonide Inhaler (Pulmicort)

Dose to Take: 1-2 inhalations twice daily.
Alternate Medicines:
Beclomethasone (Qvar) – 1-2 puffs twice daily.
Fluticasone (Flovent) – 2 puffs twice daily.","Theophylline

Dose to Take: 200-400 mg every 12 hours.
Alternate Medicines:
Aminophylline – 250 mg every 8 hours.
Doxofylline – 400 mg once daily."
Asthma Attacks (Mild),"Salbutamol Inhaler (Ventolin)

Dose to Take: 2 puffs every 4-6 hours as needed.
Alternate Medicines:
Terbutaline (Bricanyl) – 2 puffs every 6 hours.
Ipratropium (Atrovent) – 2 puffs every 6 hours.","Budesonide Inhaler (Pulmicort)

Dose to Take: 1-2 inhalations twice daily.
Alternate Medicines:
Beclomethasone (Qvar) – 1-2 puffs twice daily.
Fluticasone (Flovent) – 2 puffs twice daily.","Montelukast (Singulair)

Dose to Take: 10 mg once daily.
Alternate Medicines:
Zafirlukast (Accolate) – 20 mg twice daily.
Cromolyn Sodium – 20 mg 4 times daily.","Antihistamines (Loratadine, Claritin)

Dose to Take: 10 mg once daily.
Alternate Medicines:
Cetirizine (Zyrtec) – 10 mg once daily.
Fexofenadine (Allegra) – 180 mg once daily."
Athlete's Blisters,"Moleskin or Band-Aid Blister Pads

Dose to Apply: Cover the blister as needed for protection.
Alternate Medicines:
Hydrocolloid Gel Bandages – Apply as needed.
Zinc Oxide Cream – Apply thinly over the affected area.","Antiseptic Cream (Neosporin)

Dose to Apply: Apply 2-3 times daily after cleaning.
Alternate Medicines:
Bacitracin Ointment – Apply twice daily.
Polysporin – Apply 2-3 times daily.","Aloe Vera Gel

Dose to Apply: Apply 2-3 times daily to soothe skin.
Alternate Medicines:
Calendula Ointment – Apply 2-3 times daily.
Vitamin E Oil – Apply as needed.","Ibuprofen (Advil)

Dose to Take: 200-400 mg every 4-6 hours as needed for pain.
Alternate Medicines:
Acetaminophen (Tylenol) – 500 mg every 6 hours.
Naproxen (Aleve) – 220 mg every 8-12 hours."
Athlete's Foot,"Clotrimazole Cream (Lotrimin)

Dose to Apply: Apply twice daily for 2-4 weeks.
Alternate Medicines:
Miconazole Cream – Apply twice daily.
Terbinafine Cream (Lamisil) – Apply once daily for 1-2 weeks.","Tolnaftate Powder (Tinactin)

Dose to Apply: Apply twice daily to clean, dry feet.
Alternate Medicines:
Zeasorb Antifungal Powder – Apply once daily.
Desenex Powder – Apply twice daily.","Ketoconazole Cream

Dose to Apply: Apply once daily for 2 weeks.
Alternate Medicines:
Econazole Cream – Apply twice daily.
Ciclopirox Cream – Apply once daily.","Antifungal Spray (Lamisil Spray)

Dose to Apply: Spray once daily for 1-2 weeks.
Alternate Medicines:
Tinactin Spray – Spray twice daily.
Lotrimin Spray – Spray as needed."
Athlete's Itch,"Clotrimazole Cream (Lotrimin)

Dose to Apply: Apply twice daily for 2-4 weeks.
Alternate Medicines:
Miconazole Cream – Apply twice daily.
Terbinafine Cream (Lamisil) – Apply once daily for 1-2 weeks.","Hydrocortisone Cream

Dose to Apply: Apply thinly twice daily for up to 2 weeks.
Alternate Medicines:
Calamine Lotion – Apply as needed for itching.
Aloe Vera Gel – Apply 2-3 times daily.","Antifungal Powder (Tinactin)

Dose to Apply: Apply to clean, dry skin once daily.
Alternate Medicines:
Desenex Antifungal Powder – Use twice daily.
Zeasorb Powder – Apply once daily.","Antihistamines (Loratadine, Claritin)

Dose to Take: 10 mg once daily for itching relief.
Alternate Medicines:
Cetirizine (Zyrtec) – 10 mg once daily.
Diphenhydramine (Benadryl) – 25 mg every 6-8 hours."
Avascular Necrosis (Early Stage),"Ibuprofen (Advil, Motrin)

Dose to Take: 200-400 mg every 4-6 hours as needed.
Alternate Medicines:
Acetaminophen (Tylenol) – 500 mg every 6 hours.
Naproxen (Aleve) – 220 mg every 8-12 hours.","Vitamin D Supplements

Dose to Take: 800-1000 IU daily.
Alternate Medicines:
Calcium Supplements – 500 mg twice daily.
Vitamin K2 Supplements – 90 mcg daily.","Bisphosphonates (Alendronate)

Dose to Take: 35-70 mg weekly.
Alternate Medicines:
Ibandronate – 150 mg monthly.
Risedronate – 5 mg daily.","Omega-3 Fish Oil

Dose to Take: 1000 mg daily.
Alternate Medicines:
Glucosamine-Chondroitin – 1500 mg daily.
Turmeric (Curcumin) – 500 mg twice daily."
Back Pain,"Ibuprofen (Advil, Motrin)

Dose to Take: 200-400 mg every 4-6 hours as needed.
Alternate Medicines:
Acetaminophen (Tylenol) – 500 mg every 6 hours.
Naproxen (Aleve) – 220 mg every 8-12 hours.","Topical Pain Relief Gels (Voltaren Gel)

Dose to Apply: Apply thinly 3-4 times daily.
Alternate Medicines:
Bengay Cream – Apply as needed.
Tiger Balm – Apply 3 times daily.","Muscle Relaxants (Cyclobenzaprine)

Dose to Take: 5-10 mg up to 3 times daily.
Alternate Medicines:
Methocarbamol – 1500 mg every 6 hours.
Baclofen – 10 mg 3 times daily.","Capsaicin Cream

Dose to Apply: Apply 3-4 times daily.
Alternate Medicines:
Arnica Gel – Use as needed.
Biofreeze Gel – Use up to 4 times daily."
Bacterial Infections (Skin),"Neosporin Ointment

Dose to Apply: Apply 2-3 times daily after cleaning.
Alternate Medicines:
Bacitracin Ointment – Apply twice daily.
Polysporin – Apply 2-3 times daily.","Mupirocin Ointment (Bactroban)

Dose to Apply: Apply thinly 3 times daily.
Alternate Medicines:
Fusidic Acid Cream – Apply twice daily.
Clindamycin Gel – Apply 2-3 times daily.","Benzoyl Peroxide Gel

Dose to Apply: Apply once daily or as directed.
Alternate Medicines:
Salicylic Acid Gel – Apply 1-2 times daily.
Tea Tree Oil – Apply as needed.","Oral Antibiotics (Amoxicillin)

Dose to Take: 500 mg every 8 hours for 7 days.
Alternate Medicines:
Cephalexin – 500 mg every 6 hours.
Doxycycline – 100 mg twice daily."
Bad Breath,"Chlorhexidine Mouthwash

Dose to Use: Rinse with 15 ml twice daily.
Alternate Medicines:
Listerine Antiseptic – Rinse twice daily.
Betadine Gargle – Rinse with 10 ml diluted in water.","Zinc Supplements

Dose to Take: 25-50 mg daily.
Alternate Medicines:
Vitamin C – 500 mg daily.
Probiotic Supplements – Take as directed.","Sugar-Free Chewing Gum

Dose to Use: Chew as needed to freshen breath.
Alternate Medicines:
Xylitol Mints – Use as needed.
Mouth Freshening Spray – Spray as required.","Baking Soda Mouthwash

Dose to Use: Gargle with 1 tsp in a glass of water once daily.
Alternate Medicines:
Saltwater Gargle – Use as needed.
Hydrogen Peroxide Rinse (diluted) – Rinse once daily."
Bad Dreams (Stress-related),"Melatonin Supplements

Dose to Take: 1-5 mg 30 minutes before bedtime.
Alternate Medicines:
Valerian Root – 300-600 mg before sleep.
Chamomile Tea – 1 cup before bedtime.","Magnesium Supplements

Dose to Take: 300-400 mg daily.
Alternate Medicines:
Calcium Supplements – 500 mg daily.
Ashwagandha – 500 mg twice daily.","Lavender Oil Capsules

Dose to Take: 80-160 mg once daily.
Alternate Medicines:
Passionflower Tea – 1 cup before bedtime.
Lemon Balm Capsules – 300 mg twice daily.","Over-the-Counter Sedatives (Diphenhydramine)

Dose to Take: 25-50 mg 30 minutes before sleep.
Alternate Medicines:
Doxylamine (Unisom) – 25 mg before bedtime.
Hydroxyzine – 10-25 mg before bedtime."
Bad Odour,"Antibacterial Soap

Dose to Use: Use during daily bathing.
Alternate Medicines:
Tea Tree Oil Soap – Use daily.
Neem Soap – Use twice daily.","Antiperspirant Deodorant

Dose to Apply: Apply to clean, dry skin once daily.
Alternate Medicines:
Aluminum Chloride Roll-On – Use as needed.
Witch Hazel Toner – Apply after bathing.","Chlorophyll Tablets

Dose to Take: 100-300 mg daily.
Alternate Medicines:
Activated Charcoal – 250 mg daily.
Zinc Supplements – 25-50 mg daily.","Apple Cider Vinegar (Diluted)

Dose to Use: Use 1 tbsp diluted in water as a rinse or soak.
Alternate Medicines:
Baking Soda Paste – Apply as needed.
Lemon Juice – Apply once daily."
Bald Spots on Scalp (Mild Alopecia),"Minoxidil (Rogaine)

Dose to Apply: Apply 1 ml twice daily to affected areas.
Alternate Medicines:
Redensyl Serum – Apply once daily.
Saw Palmetto Topical Serum – Use as directed.","Biotin Supplements

Dose to Take: 5000 mcg daily.
Alternate Medicines:
Vitamin D – 1000 IU daily.
Zinc Supplements – 25 mg daily.","Aloe Vera Gel

Dose to Apply: Apply directly to the scalp twice daily.
Alternate Medicines:
Onion Juice – Apply 3 times a week.
Coconut Oil – Use as a nightly massage.","Essential Oils (Rosemary Oil)

Dose to Apply: Mix with carrier oil and apply twice weekly.
Alternate Medicines:
Peppermint Oil – Use as needed.
Tea Tree Oil – Apply diluted as a weekly treatment."
Baldness,"Minoxidil (Rogaine)

Dose to Apply: Apply 1 ml to the scalp twice daily.
Alternate Medicines:
Finasteride (Propecia) – 1 mg daily (men only).
Redensyl Serum – Apply once daily.","Biotin Supplements

Dose to Take: 5000 mcg daily.
Alternate Medicines:
Vitamin D – 1000 IU daily.
Saw Palmetto Capsules – 320 mg daily.","Scalp Massage with Essential Oils

Recommendation: Use oils like rosemary or peppermint mixed with a carrier oil, massage 3-4 times a week.
Alternate Options:
Onion Juice – Apply twice weekly.
Aloe Vera Gel – Apply daily.","Low-Level Laser Therapy (LLLT)

Frequency: 3 times a week for 15 minutes per session.
Alternate Medicines:
Platelet-Rich Plasma (PRP) Therapy – Consult a dermatologist.
Hair Growth Shampoos with Ketoconazole."
Bed wetting in children,"Bedwetting Alarms

Usage: Attach the alarm to alert the child when moisture is detected.
Alternate Solutions:
Waterproof Mattress Covers.
Training Pants.","Desmopressin (DDAVP)

Dose to Take: 0.2-0.6 mg at bedtime as directed.
Alternate Medicines:
Oxybutynin – 5 mg at bedtime.
Imipramine – 10-25 mg at bedtime (rarely used).","Limiting Fluids Before Bedtime

Recommendation: Reduce fluid intake 2 hours before bed.
Alternate Practices:
Encourage Bathroom Use Before Bedtime.
Avoid Caffeine or Sugary Drinks.","Behavioral Techniques

Recommendation: Positive reinforcement for dry nights (reward system).
Alternate Strategies:
Keep a Record of Dry Nights.
Practice Bladder Training Exercises."
Bedsores (Initial Stage),"Zinc Oxide Cream

Dose to Apply: Apply 2-3 times daily to the affected area.
Alternate Medicines:
Petroleum Jelly – Apply after cleaning.
Aloe Vera Gel – Apply twice daily.","Hydrocolloid Dressings

Usage: Apply as per dressing instructions to promote healing.
Alternate Options:
Foam Dressings – Change every 3-5 days.
Transparent Film Dressings – Use as needed.","Pain Relief (Ibuprofen)

Dose to Take: 200-400 mg every 6-8 hours.
Alternate Medicines:
Acetaminophen – 500 mg every 6 hours.
Topical Lidocaine Cream – Apply for pain relief.","Frequent Position Changes

Recommendation: Reposition every 2 hours to reduce pressure.
Alternate Practices:
Use Cushions or Pads.
Elevate the Affected Area Slightly."
Bee Stings,"Antihistamines (Diphenhydramine, Benadryl)

Dose to Take: 25-50 mg every 6-8 hours.
Alternate Medicines:
Cetirizine (Zyrtec) – 10 mg once daily.
Loratadine (Claritin) – 10 mg daily.","Hydrocortisone Cream

Dose to Apply: Apply 2-3 times daily to reduce itching and swelling.
Alternate Medicines:
Calamine Lotion – Apply as needed.
Aloe Vera Gel – Use for soothing.","Pain Relief (Ibuprofen)

Dose to Take: 200-400 mg every 6-8 hours.
Alternate Medicines:
Acetaminophen – 500 mg every 6 hours.
Aspirin – 325 mg as needed.","Cold Compress

Usage: Apply ice wrapped in a cloth for 10 minutes at a time.
Alternate Solutions:
Baking Soda Paste – Apply as needed.
Honey – Dab on the sting area to soothe."
Belly Fat Reduction (Home Tips),"Green Tea

Dose to Drink: 2-3 cups daily.
Alternate Options:
Black Coffee – 1-2 cups daily.
Lemon Water – Drink each morning.","High-Protein Diet

Recommendation: Include eggs, chicken, lentils, and nuts.
Alternate Practices:
Replace Refined Carbs with Whole Grains.
Snack on Fruits and Yogurt.","Intermittent Fasting

Recommendation: Follow a 16:8 fasting schedule.
Alternate Methods:
Reduce Sugar Intake.
Eat Smaller Portions Throughout the Day.","Regular Exercise

Recommendation: Include 30 minutes of cardio or strength training daily.
Alternate Exercises:
Yoga – 15 minutes of Surya Namaskar.
Plank Exercises – 1-2 minutes daily."
Binge Eating,"Antidepressants (Fluoxetine)

Dose to Take: 20-60 mg daily as prescribed.
Alternate Medicines:
Sertraline – 50-100 mg daily.
Topiramate – 25-50 mg daily.","Cognitive Behavioral Therapy (CBT)

Recommendation: Consult a therapist for weekly sessions.
Alternate Methods:
Mindfulness Meditation.
Journaling to Identify Triggers.","Protein-Rich Meals

Recommendation: Replace high-calorie snacks with protein-based foods.
Alternate Foods:
Greek Yogurt with Nuts.
Boiled Eggs or Chickpeas.","Portion Control Techniques

Recommendation: Use smaller plates and avoid eating from containers.
Alternate Strategies:
Keep Trigger Foods Out of Reach.
Drink Water Before Meals."
Black Tongue,"Antibacterial Mouthwash

Dose to Use: Rinse with 15 ml twice daily.
Alternate Medicines:
Hydrogen Peroxide Rinse (diluted) – Rinse once daily.
Betadine Gargle – Use twice daily.","Baking Soda Scrub

Usage: Mix with water and gently brush the tongue once daily.
Alternate Remedies:
Saltwater Gargle – Use twice daily.
Lemon Water – Rinse once daily.","Probiotics

Dose to Take: 1 capsule daily.
Alternate Medicines:
Yogurt with Live Cultures – Consume daily.
Acidophilus Capsules – Take as directed.","Proper Oral Hygiene

Recommendation: Brush twice daily, including the tongue.
Alternate Practices:
Use a Tongue Scraper.
Avoid Smoking and Excessive Coffee."
Blackheads,"Salicylic Acid Cleanser

Dose to Use: Wash face twice daily with a cleanser containing 2% salicylic acid.
Alternate Medicines:
Benzoyl Peroxide Cleanser – Use once daily.
Retinoid Cream (Adapalene) – Apply once at night.","Clay Masks (Kaolin or Bentonite Clay)

Dose to Apply: Apply to the face once or twice weekly.
Alternate Remedies:
Charcoal Peel-Off Mask – Use weekly.
Tea Tree Oil Mask – Apply 1-2 times per week.","Comedone Extractor Tool

Usage: Use to gently remove blackheads after steaming the face.
Alternate Methods:
Blackhead Strips – Use as needed.
Steaming – Perform before exfoliation.","Exfoliating Scrub

Dose to Use: Apply a gentle scrub 2-3 times a week.
Alternate Options:
Sugar and Honey Scrub.
Oatmeal and Yogurt Scrub."
